2025-05-08 09:55:32,180 INFO    MainThread:6802 [wandb_setup.py:_flush():70] Current SDK version is 0.19.11
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_setup.py:_flush():70] Configure stats pid to 6802
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_setup.py:_flush():70] Loading settings from /root/.config/wandb/settings
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_setup.py:_flush():70] Loading settings from /root/multi-modal-transfer-learning/wandb/settings
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_setup.py:_flush():70] Loading settings from environment variables
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:setup_run_log_directory():724] Logging user logs to /root/multi-modal-transfer-learning/wandb/run-20250508_095532-5zp7g9py/logs/debug.log
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:setup_run_log_directory():725] Logging internal logs to /root/multi-modal-transfer-learning/wandb/run-20250508_095532-5zp7g9py/logs/debug-internal.log
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:init():852] calling init triggers
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:init():857] wandb.init called with sweep_config: {}
config: {'root': None, 'batch_size': 16, 'epochs': 15, 'lr': 0.0002, 'dry_run': False, 'project': 'clip-mm-decoder', 'repo': 'clip-mm-decoder', 'save_ckpt': PosixPath('checkpoints'), '_wandb': {}}
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:init():893] starting backend
2025-05-08 09:55:32,181 INFO    MainThread:6802 [wandb_init.py:init():897] sending inform_init request
2025-05-08 09:55:32,188 INFO    MainThread:6802 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-05-08 09:55:32,189 INFO    MainThread:6802 [wandb_init.py:init():907] backend started and connected
2025-05-08 09:55:32,191 INFO    MainThread:6802 [wandb_init.py:init():1005] updated telemetry
2025-05-08 09:55:32,200 INFO    MainThread:6802 [wandb_init.py:init():1029] communicating run to backend with 90.0 second timeout
2025-05-08 09:55:32,822 INFO    MainThread:6802 [wandb_init.py:init():1104] starting run threads in backend
2025-05-08 09:55:33,108 INFO    MainThread:6802 [wandb_run.py:_console_start():2573] atexit reg
2025-05-08 09:55:33,109 INFO    MainThread:6802 [wandb_run.py:_redirect():2421] redirect: wrap_raw
2025-05-08 09:55:33,109 INFO    MainThread:6802 [wandb_run.py:_redirect():2490] Wrapping output streams.
2025-05-08 09:55:33,109 INFO    MainThread:6802 [wandb_run.py:_redirect():2513] Redirects installed.
2025-05-08 09:55:33,112 INFO    MainThread:6802 [wandb_init.py:init():1150] run started, returning control to user process
2025-05-08 09:58:05,360 INFO    MsgRouterThr:6802 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
